TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT1263;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1401;100;43 x 7;2;R$ 173,50
GIFT1264;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT1265;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT1266;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
GIFT2061;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
GIFT2062;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT2063;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT2064;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
GIFT2065;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;142;10;43 x 7;2;R$ 20,50
GIFT2066;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;423;30;43 x 7;2;R$ 55,50
GIFT2067;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;702;50;43 x 7;2;R$ 89,50
GIFT2068;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1402;100;43 x 7;2;R$ 173,50
GIFT1259;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
GIFT1260;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT1261;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;422;30;43 x 7;2;R$ 55,50
GIFT1262;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;141;10;43 x 7;2;R$ 20,50
GIFT1255;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
GIFT1256;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT1257;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT1258;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
